Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0005_C2022788F_collage.jpg,P. C. Solbo,P. C. Solbo,N/A,s.n.,1. X. 1914,1914-10-01,N/A,Orthostichella ampllacea (C. Müller) B. H. Allen & Magill,Orthostichella ampllacea,Bruce Allen,2005,N/A,Kenya,N/A,N/A,N/A,Valle del Giuba,[precise locality unknown],N/A,N/A,N/A,C2022788F,Mix of Handwritten and Typed,no type status
0010_C2022793F_collage.jpg,Y. HASEGAWA,Y. Hasegawa,N/A,s.n.,"October 31, 1974",1974-10-31,N/A,Orthostichella ampu llacea (C. Müller) B. H. Allen & Magill,Orthostichella ampu llacea,Bruce Allen,2005,Pilotrichella cuspidata,Tanzania,N/A,N/A,N/A,Around Ngorongoro Crater,Around Ngorongoro Crater,On tree-trunk,elevation about 2000 m,N/A,C2022793F,Typed,no type status
0013_C2022796F_collage.jpg,P. J. Greenway,P. J. Greenway,N/A,"11,937",2/10/1965,1965-02-10,N/A,"FLORA OF ARUSHA DIST., R. TANGANYIKA Moss Pilotrichella",Orthostichella amplulacea,B. H. Allen & Magill,2005,N/A,Tanzania,Arusha,N/A,N/A,"T. 2, N. Side of Ngurdoto Crater",[precise locality unknown],"A moss festooning densely a dead Cass-ipourea tree, dark brown and green forming a complete cover around the branchlets and the dominant moss on trees around the rim of the Crater","5,700ft. alt.",N/A,C2022796F,Handwritten,no type status
0017_C2022800F_collage.jpg,S. Rojkowski,S. Rojkowski,N/A,31,16 Dec. 1975,1975-12-16,N/A,Orthostichella capillicaulis (Kindberg) B. H. Allen & Magill,Orthostichella capillicaulis,Bruce Allen,2005,Pilotrichella pentasticha,Kenya,N/A,N/A,N/A,"Mt Elgon, alt. 2200 m, S slope",Mount Elgon,epiphytic,2200 m,N/A,C2022800F,Typed,no type status
0031_C2022816F_collage.jpg,G. Zenker,G. Zenker,N/A,1300,28. II 99,1899-02-28,N/A,Orthostichella welwitschii (Duby) B. H. Allen,Orthostichella welwitschii,B. Allen,2005,N/A,Cameroon,N/A,N/A,N/A,Bipindi,Bipindi,N/A,Höhe ü. d. M.: 80,N/A,C2022816F,Mix of Handwritten and Typed,no type status
0032_C2022817F_collage.jpg,G.Zenker,G. Zenker,N/A,1300,1897,1897-00-00,N/A,Pilostigma panduraefolia C.M.,Pilostigma panduraefolia,N/A,N/A,N/A,Cameroon,N/A,N/A,N/A,Africa: Kamerun; Bipindi,[precise locality unknown],N/A,N/A,N/A,C2022817F,Handwritten,no type status
0045_C2022957F_collage.jpg,Leg. H. Humbert,H. Humbert,N/A,s.n.,juin 1929,1929-06-00,N/A,Antitrichia kilimandscharica Broth.,Antitrichia kilimandscharica,R. Potier de la Varde,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,"Volcan Muhavura (Congo belge, Kivu)",[precise locality unknown],N/A,alt.: 3500-4147 m.,N/A,C2022957F,Typed,no type status
0050_C2023107F_collage.jpg,V. et P. Allorge,V. Allorge,P. Allorge,s.n.,22.VII.1937,1937-07-22,N/A,Rhynchostegiella pallidirostra (A.Br.)Loeske,Rhynchostegiella pallidirostra,N/A,N/A,N/A,Portugal,Azores,Flores,N/A,"blocs de basalte ombragés, Fajasinh vers 200 m.",[precise locality unknown],blocs de basalte ombragés,vers 200 m.,N/A,C2023107F,Typed,no type status
0052_C2023112F_collage.jpg,A. Borhidi & M. Steiner,A. Borhidi,M. Steiner,86216/C,2. Nov. 1986,1986-11-02,N/A,Rhynchostegium horridum Broth.,Rhynchostegium horridum,H. Bednarek - R. Ochyra,1992,N/A,Tanzania,Tanga,N/A,N/A,EAST USAMBARA Mts. Submontane rainforest along stream and on S slopes 0.5 km S of DEREMA village,EAST USAMBARA Mts. Submontane rainforest along stream and on S slopes 0.5 km S of DEREMA village,corticolous,780-870 m alt.,39° | 5° | 38°,C2023112F,Mix of Handwritten and Typed,no type status
0060_C2023121F_collage.jpg,R.A. Dummer,R.A. Dummer,N/A,4012,April 19 1919,1919-04-19,N/A,Atrichostegium Bothansi (Broth.) Broth.,Atrichostegium Bothansi,H.N. Dixon,N/A,N/A,Uganda,N/A,N/A,N/A,Mulange,Mulange,N/A,4000ft,N/A,C2023121F,Mix of Handwritten and Typed,no type status
