Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0001_C2022783F.jpg,S. Rojkowski,S. Rojkowski,N/A,394,8 Febr. 1976,1976-02-08,N/A,Orthostichella ampullacea (C. Müll.) B.H. Allen & Magill,Orthostichella ampullacea,Det. Bruce Allen,N/A,N/A,Kenya,N/A,N/A,N/A,"01 Doinyo Sapuk National Park near Thika, alt. 2270 m; epiphytic","01 Doinyo Sapuk National Park near Thika, altitude 2270 meters, epiphytic",N/A,alt. 2270 m,N/A,1050631,Typed,no type status
0003_C2022785F.jpg,Det. Bruce Allen & Magill,S. Kojkowski,N/A,207,9.I.1976,1976-01-09,N/A,Orthostichella ampullacea (C. Müll.) B. H. Allen & Magill,Orthostichella ampullacea,Det. Bruce Allen & Magill,N/A,N/A,Kenya,N/A,N/A,Nairobi,"Ngong Hills near Nairobi, city of Ngong, epiphytic","Ngong Hills near Nairobi, city of Ngong, epiphytic",N/A,N/A,N/A,1050638,Typed,no type status
0004_C2022786F.jpg,S. Rojkowski,S. Rojkowski,N/A,378,22 Jan. 1976,1976-01-22,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,"Det. Bruce Allen, 2002",2002,N/A,Tanzania,Meru,N/A,N/A,"W slope of the crater rim, alt. 2700 m, epiphytic in montane rain forest","W slope of the crater rim, alt. 2700 m, epiphytic in montane rain forest",montane rain forest,alt. 2700 m,N/A,1050662,Typed,no type status
0005_C2022787F.jpg,Coll.: S. Rogikowski No 253,S. Rogikowski,N/A,253,13.1.1976,1976-01-13,N/A,"Orthostichella ampullacea (C. Muller) B. H. Allen & Magill Det. Bruce Allen, 2005 Missouri Botanical Garden Herbarium (MO)",Pilotrichella cuspidata Broth.,Bruce Allen,2005,N/A,Tanzania,Ngorongoro,N/A,N/A,"Ngorongoro Crater, alt. 2500 m, epiphytic in bamboo thickets","Ngorongoro Crater, epiphytic in bamboo thickets",N/A,alt. 2500 m,N/A,1050652,Typed,no type status
0006_C2022788F.jpg,B. H. Allen & Magill,B. H. Allen,Magill,s.n.,AUG 1954,1954-08-00,N/A,Orthostichella ampullacea (C. M.ller) B. H. Allen & Magill,Orthostichella ampullacea,B. H. Allen & Magill,N/A,N/A,United States of America,Missouri,N/A,N/A,Missouri Botanical Garden Herbarium (MO),Missouri Botanical Garden Herbarium,N/A,N/A,N/A,N/A,Typed,no type status
0007_C2022789F.jpg,"Der. Bruce Allen, 2005",B. Zemanek,N/A,1050473,1976,1976-00-00,N/A,Orthostichella ampullacea (C. Müll.) B. H. Allen & Magill,Orthostichella ampullacea,B. H. Allen,2005,N/A,Kenya,Nairobi,N/A,N/A,"Ngong Hills near Nairobi, epiphytic",Ngong Hills near Nairobi,epiphytic,N/A,N/A,N/A,Typed,no type status
0008_C2022790F.jpg,T. G. Dalbo,T. G. Dalbo,N/A,s.n.,18-6-1910,1910-06-18,N/A,Pilotrichella foliicaulis Broth.,Pilotrichella foliicaulis,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Nyeri - m. 1800-,Nyeri,N/A,N/A,N/A,N/A,Handwritten,no type status
0009_C2022791F.jpg,S. Kojkowski,S. Kojkowski,N/A,369,22.01.1976,1976-01-22,N/A,Orthostichella ampullacea (C. Muell.) Jaeg.,Orthostichella ampullacea,Det. Bruch & Al. Magill,N/A,N/A,Tanzania,N/A,N/A,N/A,"Mt. Meru, 2600 m alt., W slope of the crater rim, epiphytic in montane rain forest","Mt. Meru, 2600 m alt., W slope of the crater rim, epiphytic in montane rain forest",N/A,2600 m alt.,N/A,1050650,Typed,no type status
0010_C2022792F.jpg,B. H. Allen & Magill,B. H. Allen,Magill,1050643,12 Jan. 1976,1976-01-12,N/A,Orthostichella ampullacea (C. Müll.) B. H. Allen & Magill,Orthostichella ampullacea,B. H. Allen,N/A,N/A,Tanzania,Ngorongoro,N/A,N/A,"Ngorongoro Crater rim, epiphytic in bamboo thickets, alt. 2500 m","Ngorongoro Crater rim, epiphytic in bamboo thickets, altitude 2500 meters",N/A,2500 m,N/A,N/A,Typed,no type status
0011_C2022793F.jpg,Y. Hasegawa,Y. Hasegawa,N/A,s.n.,"October 31, 1974",1974-10-31,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,Bruce Allen,2003,N/A,Tanzania,N/A,N/A,N/A,Around Ngongoro Crater,Around Ngongoro Crater,On tree-trunk; elevation about 2000 m,On tree-trunk; elevation about 2000 m,N/A,1027423,Mix of Handwritten and Typed,no type status
