Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0001_C2022783F.jpg,B. Rojkowski,B. Rojkowski,N/A,394,8 Febr.1976,1976-02-08,N/A,Pilotrichella cuspidata Broth,Orthostichella ampullacea,Bruce Allen,2005,N/A,Kenya,N/A,N/A,N/A,Ol Doinyo Sapuk National Park near Thika,Ol Doinyo Sapuk National Park near Thika,N/A,alt. 2270 m,N/A,1050634,Typed,no type status
0002_C2022784F.jpg,R. E. Magill & T. Pócs,R E Magill,T Pócs,11241,7 August 1992,1992-08-07,N/A,Orthostichella ampullacea (C Müller) B H Allen & Magill det B Allen 2005,Orthostichella ampullacea,B Allen,2005,Orthostichopsis subimbricata,Comoros,N/A,N/A,N/A,Anjouan (Ndzouani) Primary rainforest along steep SE summit ridge of Ntringi N of Lake Dzialandze 2 km WSW of Dindri Village <11210-11246>,Primary rainforest along steep SE summit ridge of Ntringi N of Lake Dzialandze 2 km WSW of Dindri Village,On branch,1380 m,"12°12'52""S 44°25'32""E",1182891,Typed,no type status
0003_C2022785F.jpg,S. Rojkowski,S. Rojkowski,N/A,207,9.I.1976,1976-01-09,N/A,Pilotrichella cuspidata Broth,Pilotrichella cuspidata,R. Ochyra,N/A,N/A,Kenya,N/A,N/A,Nairobi,"Ngong Hills near Nairobi, city of Ngong","Ngong Hills near Nairobi, city of Ngong",N/A,N/A,N/A,1050638,Typed,no type status
0004_C2022786F.jpg,B Kojkowski,B Kojkowski,N/A,373,22 Jan 1976,1976-01-22,N/A,Orthostichella ampullacea (C Müller) B H Allen & Magill Det Bruce Allen Missouri Botanical Garden Herbarium (MO) 2005,Orthostichella ampullacea,R Ochyra,N/A,N/A,Tanzania,N/A,N/A,N/A,"Mt Meru, W slope of the crater rim",W slope of the crater rim Mt Meru,epiphytic in montane rain forest,alt 2700 m,N/A,1050662,Typed,no type status
0005_C2022787F.jpg,S. Rojkowski No 253,S. Rojkowski,N/A,253,"Jan. 12, 1976",1976-01-12,N/A,"Pilotrichella cuspidata Broth Orthostichella ampullacea (C. Müller) B. H. Allen & Magill Det. B. Allen, 2003",Orthostichella ampullacea,B. Allen,2003,N/A,Tanzania,N/A,N/A,Ngorongoro Crater,"TANZANIA: Ngorongoro Crater, alt. 2500 m, epiphytic in bamboo thickets",bamboo thickets,N/A,alt. 2500 m,N/A,1050652,Typed,no type status
0006_C2022788F.jpg,P C Holt,P C Holt,N/A,s.n.,7 X 1914,1914-10-07,N/A,Orthostichella imbricata (Hedw) Broth,Orthostichella imbricata,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Valle Lee Sheylesse,Valle Lee Sheylesse,N/A,N/A,N/A,N/A,Handwritten,no type status
0007_C2022789F.jpg,B Zemanek,B Zemanek,R Ochyra,I 19,1976,1976-00-00,N/A,Pilotrichiella cuspidata Broth,Orthostichella ampullacea,Bruce Allen,2005,N/A,Kenya,N/A,N/A,Nairobi,Ngong Hills near,Ngong Hills near,epiphytic,N/A,N/A,1050473,Mix of Handwritten and Typed,no type status
0008_C2022790F.jpg,T. P. Voithe,T P Voithe,N/A,s.n.,18-4-1910,1910-04-18,N/A,Orthostichella foliosa Besch,Orthostichella ampullacea,Bruce Allen,2005,N/A,Kenya,N/A,N/A,N/A,Kenya - Nieri - m 1800 -,[precise locality unknown],N/A,m 1800 -,N/A,N/A,Handwritten,no type status
0009_C2022791F.jpg,S. Kojkowski,S. Kojkowski,N/A,369,Jan.22.1976,1976-01-22,N/A,Piltrichella ampullacea (C. Muell.) Jaeg.,Piltrichella ampullacea,K. Ochyra,N/A,N/A,Tanzania,N/A,N/A,N/A,"Mt Meru, 2500 m alt., W slope of the crater rim, epiphytic in montane rain forest",W slope of the crater rim,montane rain forest,2500 m alt.,N/A,1050650,Typed,no type status
0010_C2022792F.jpg,B Rojkowski,B Rojkowski,N/A,246,12 Jan 1976,1976-01-12,N/A,Pilotrichella cuspidata Broth,Orthostichella ampullacea,B H Allen & Magill,2005,N/A,Tanzania,N/A,N/A,N/A,"Ngorongoro Crater rim, epiphytic in bamboo thickets, alt 2500 m","Ngorongoro Crater rim, bamboo thickets",N/A,alt 2500 m,N/A,1050643,Typed,no type status
0011_C2022793F.jpg,Y Hasegawa,Y Hasegawa,N/A,s.n.,"October 31, 1974",1974-10-31,N/A,Pilotrichella cuspidata Broth Bot Jahrb 24: 255 (1897),Orthostichella ampullacea,T Pócs,N/A,N/A,Tanzania,N/A,N/A,N/A,Around Ngorongoro Crater,Around Ngorongoro Crater,N/A,elevation about 2000 m,N/A,1027423,Typed,no type status
0012_C2022794F.jpg,P R Roth,P R Roth,N/A,s.n.,8 - XI - 1927,1927-11-08,N/A,Pilotrichella curvata Broth,Pilotrichella curvata,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Bamboo forest,Bamboo forest,N/A,N/A,N/A,N/A,Handwritten,no type status
0013_C2022795F.jpg,J.Szunyoghy (No. 18/a),J Szunyoghy,N/A,18/a,31.3.1965,1965-03-31,N/A,Pilotrichella ampullacea (C.M.) JAEG.,Orthostichella ampullacea,M Bizot,N/A,N/A,Tanzania,N/A,N/A,N/A,"Africa orientalis; Tanzania, ramicola in silva crateris montis Meru",ramicola in silva crateris montis Meru,N/A,Alt 3000 m.s.m.,N/A,1066346,Typed,no type status
0014_C2022796F.jpg,P J Greenway,P J Greenway,N/A,"11,937",2 10 1965,1965-10-02,N/A,Moss Plentrichella,Orthostichella ampullacea,Bruce Allen,2003,Cassipourea tree,Tanzania,N/A,N/A,N/A,"Flora of Arusha Dist, R Tanganyika around the rim of the Crater, Ngorongoro Crater",around the rim of the Crater,"A moss festooning densely dead Cassipourea tree, dark brown and green forming a complete cover around the branchlets and the dominant moss on trees","5,700ft alt",N/A,1051664,Typed,no type status
0015_C2022797F.jpg,A et J Kornaś,A Kornaś,J Kornaś,6830/M,13 XI 1972,1972-11-13,N/A,Orthostichella ampullacea (C Müller) B H Allen & Magill,Pilotrichella ampullacea,M Bizot,N/A,N/A,Tanzania,N/A,N/A,N/A,"Uluguru Mts, in bamboo forest on W slopes of Mgeta River Valley E of Lukwangule Plateau",in bamboo forest on W slopes of Mgeta River Valley E of Lukwangule Plateau,N/A,alt 2250 m,N/A,1064574,Typed,no type status
